Id;Symbol;Side;Open Time;Close Time;PnL (USDT);Balance
69;JUPUSDT;SYNC;2026-06-28 02:28:49;2026-06-28 02:28:49;1.534;9045.9304
70;STABLEUSDT;SYNC;2026-06-28 03:25:13;2026-06-28 03:25:13;0.7623;9046.7189
71;STABLEUSDT;SYNC;2026-06-28 03:53:36;2026-06-28 03:53:36;1.2642;9047.9828
72;STABLEUSDT;SYNC;2026-06-28 04:14:08;2026-06-28 04:14:08;1.3204;9049.3029
73;DASHUSDT;SYNC;2026-06-28 06:24:34;2026-06-28 06:24:34;2.357;9051.6594
74;JUPUSDT;SYNC;2026-06-28 06:31:50;2026-06-28 06:31:50;1.5418;9053.2008
75;JUPUSDT;SYNC;2026-06-28 07:11:37;2026-06-28 07:11:37;1.5509;9054.7435
76;JUPUSDT;SYNC;2026-06-28 08:03:47;2026-06-28 08:03:47;1.5587;9056.302
77;DASHUSDT;SYNC;2026-06-28 08:24:18;2026-06-28 08:24:18;2.3722;9058.6739
78;SOLUSDT;SYNC;2026-06-28 08:28:20;2026-06-28 08:28:20;1.9285;9060.6019
79;STABLEUSDT;SYNC;2026-06-28 08:53:41;2026-06-28 08:53:41;1.2824;9061.8839
80;DASHUSDT;SYNC;2026-06-28 09:12:07;2026-06-28 09:12:07;2.3868;9064.2704
81;JUPUSDT;SYNC;2026-06-28 09:17:44;2026-06-28 09:17:44;1.5704;9065.8404
82;STABLEUSDT;SYNC;2026-06-28 09:32:26;2026-06-28 09:32:26;0.5746;9066.4146
83;STABLEUSDT;SYNC;2026-06-28 09:32:28;2026-06-28 09:32:28;0.2831;9066.6977
84;STABLEUSDT;SYNC;2026-06-28 09:32:28;2026-06-28 09:32:28;0.6853;9067.383
85;STABLEUSDT;SYNC;2026-06-28 09:32:28;2026-06-28 09:32:28;0.4591;9067.8421
86;STABLEUSDT;SYNC;2026-06-28 09:32:28;2026-06-28 09:32:28;0.6683;9068.5104
87;STABLEUSDT;SYNC;2026-06-28 09:32:28;2026-06-28 09:32:28;0.2256;9068.736
88;STABLEUSDT;SYNC;2026-06-28 09:47:56;2026-06-28 09:47:56;0.7785;9069.5143
89;STABLEUSDT;SYNC;2026-06-28 09:47:56;2026-06-28 09:47:56;0.493;9070.0073
90;STABLEUSDT;SYNC;2026-06-28 13:00:17;2026-06-28 13:00:17;0.1814;9070.2082
91;STABLEUSDT;SYNC;2026-06-28 13:00:17;2026-06-28 13:00:17;1.1408;9071.349
92;STABLEUSDT;SYNC;2026-06-28 13:40:37;2026-06-28 13:40:37;0.3745;9071.7232
93;STABLEUSDT;SYNC;2026-06-28 13:40:37;2026-06-28 13:40:37;0.8924;9072.6156
94;STABLEUSDT;SYNC;2026-06-28 13:56:23;2026-06-28 13:56:23;0.5657;9073.181
95;STABLEUSDT;SYNC;2026-06-28 13:56:24;2026-06-28 13:56:24;0.7035;9073.8844
96;DASHUSDT;SYNC;2026-06-28 15:16:54;2026-06-28 15:16:54;1.8381;9075.7218
97;DASHUSDT;SYNC;2026-06-28 15:16:54;2026-06-28 15:16:54;0.4461;9076.1678
98;JUPUSDT;SYNC;2026-06-28 17:38:00;2026-06-28 17:38:00;1.5743;9077.7418
99;STABLEUSDT;SYNC;2026-06-28 19:32:11;2026-06-28 19:32:11;0.1653;9077.9394
100;STABLEUSDT;SYNC;2026-06-28 19:32:13;2026-06-28 19:32:13;0.7532;9078.6925
101;STABLEUSDT;SYNC;2026-06-28 19:32:13;2026-06-28 19:32:13;0.1479;9078.8404
102;STABLEUSDT;SYNC;2026-06-28 19:32:13;2026-06-28 19:32:13;0.099;9078.9394
103;STABLEUSDT;SYNC;2026-06-28 19:32:14;2026-06-28 19:32:14;0.1055;9079.0449
104;DASHUSDT;SYNC;2026-06-28 22:38:47;2026-06-28 22:38:47;2.3029;9081.3473
105;SOLUSDT;SYNC;2026-06-29 01:53:26;2026-06-29 01:53:26;1.939;9083.426
106;JUPUSDT;SYNC;2026-06-29 06:11:28;2026-06-29 06:11:28;3.7918;9087.3987
107;STABLEUSDT;SYNC;2026-06-29 10:30:13;2026-06-29 10:30:13;8.6906;9096.1851
108;DASHUSDT;SYNC;2026-06-29 10:35:49;2026-06-29 10:35:49;-4.8709;9091.3139
109;DASHUSDT;SYNC;2026-06-29 10:35:49;2026-06-29 10:35:49;-2.2788;9089.035
110;DASHUSDT;SYNC;2026-06-29 10:35:49;2026-06-29 10:35:49;-2.6631;9086.3718
111;DASHUSDT;SYNC;2026-06-29 10:35:49;2026-06-29 10:35:49;-3.8536;9082.5182
112;DASHUSDT;SYNC;2026-06-29 10:35:49;2026-06-29 10:35:49;-1.535;9080.9831
113;SOLUSDT;SYNC;2026-06-29 10:35:52;2026-06-29 10:35:52;-2.0498;9078.9332
114;SOLUSDT;SYNC;2026-06-29 10:35:52;2026-06-29 10:35:52;-0.0666;9078.8665
115;SOLUSDT;SYNC;2026-06-29 10:35:52;2026-06-29 10:35:52;-0.0518;9078.8147
116;SOLUSDT;SYNC;2026-06-29 10:35:52;2026-06-29 10:35:52;-0.4514;9078.3633
117;SOLUSDT;SYNC;2026-06-29 19:53:22;2026-06-29 19:53:22;1.9425;9080.3036
118;SOLUSDT;SYNC;2026-06-29 20:05:19;2026-06-29 20:05:19;1.9425;9082.2457
119;JUPUSDT;SYNC;2026-06-29 20:11:00;2026-06-29 20:11:00;1.5717;9083.8169
120;STABLEUSDT;SYNC;2026-06-29 20:11:15;2026-06-29 20:11:15;1.3042;9085.1211
121;SOLUSDT;SYNC;2026-06-29 20:13:09;2026-06-29 20:13:09;1.924;9087.045
122;DASHUSDT;SYNC;2026-06-29 20:13:17;2026-06-29 20:13:17;2.3442;9089.389
